"Date","Total Returns Index"
"01-Aug-2019","9366.45"
"02-Aug-2019","9353.92"
"05-Aug-2019","9282.33"
"06-Aug-2019","9294.85"
"07-Aug-2019","9367.66"
"08-Aug-2019","9468.77"
"09-Aug-2019","9420.31"
"13-Aug-2019","9334.62"
"14-Aug-2019","9216.25"
"16-Aug-2019","9144.86"
"19-Aug-2019","9212.77"
"20-Aug-2019","9236.99"
"21-Aug-2019","9150.68"
"22-Aug-2019","9143.05"
"23-Aug-2019","9273.76"
"26-Aug-2019","9325.95"
"27-Aug-2019","9311.36"
"28-Aug-2019","9223.86"
"29-Aug-2019","9431.03"
"30-Aug-2019","9621.25"
"03-Sep-2019","9507.3"
"04-Sep-2019","9496.78"
"05-Sep-2019","9620.87"
"06-Sep-2019","9617.32"
"09-Sep-2019","9628.2"
"11-Sep-2019","9634.16"
"12-Sep-2019","9657.12"
"13-Sep-2019","9574.75"
"16-Sep-2019","9619.56"
"17-Sep-2019","9456.48"
"18-Sep-2019","9444.1"
"19-Sep-2019","9297.93"
"20-Sep-2019","9517.21"
"23-Sep-2019","9366.6"
"24-Sep-2019","9407.98"
"25-Sep-2019","9286.11"
"26-Sep-2019","9366.71"
"27-Sep-2019","9173.57"
"30-Sep-2019","8997.67"
"01-Oct-2019","8900.73"
"03-Oct-2019","8895.14"
"04-Oct-2019","8817.86"
"07-Oct-2019","8522.25"
"09-Oct-2019","8625.53"
"10-Oct-2019","8625.58"
"11-Oct-2019","8676.65"
"14-Oct-2019","8775.91"
"15-Oct-2019","8846.16"
"16-Oct-2019","8911.35"
"17-Oct-2019","8980.6"
"18-Oct-2019","9069.66"
"22-Oct-2019","9234.17"
"23-Oct-2019","9252.92"
"24-Oct-2019","9212.73"
"25-Oct-2019","9222.73"
"27-Oct-2019","9231.07"
"29-Oct-2019","9327.71"
"30-Oct-2019","9321.45"
"31-Oct-2019","9391.54"
"01-Nov-2019","9476.55"
"04-Nov-2019","9497.27"
"05-Nov-2019","9393.21"
"06-Nov-2019","9449"
"07-Nov-2019","9496.28"
"08-Nov-2019","9283.38"
"11-Nov-2019","9280.36"
"13-Nov-2019","9132.03"
"14-Nov-2019","9049.74"
"15-Nov-2019","9203.71"
"18-Nov-2019","9318.12"
"19-Nov-2019","9359.69"
"20-Nov-2019","9665.08"
"21-Nov-2019","9620.67"
"22-Nov-2019","9618.56"
"25-Nov-2019","9790.67"
"26-Nov-2019","9750.48"
"27-Nov-2019","9831.89"
"28-Nov-2019","9864.7"
"29-Nov-2019","9764.9"
"02-Dec-2019","9692.22"
"03-Dec-2019","9591.95"
"04-Dec-2019","9683.3"
"05-Dec-2019","9600.26"
"06-Dec-2019","9487.82"
"09-Dec-2019","9491.16"
"10-Dec-2019","9467.49"
"11-Dec-2019","9500.13"
"12-Dec-2019","9592.5"
"13-Dec-2019","9592.15"
"16-Dec-2019","9569.27"
"17-Dec-2019","9537.97"
"18-Dec-2019","9647.08"
"19-Dec-2019","9625.52"
"20-Dec-2019","9597.42"
"23-Dec-2019","9599.86"
"24-Dec-2019","9626.44"
"26-Dec-2019","9535.56"
"27-Dec-2019","9619.61"
"30-Dec-2019","9637.53"
"31-Dec-2019","9586.33"
"01-Jan-2020","9594.58"
"02-Jan-2020","9602.76"
"03-Jan-2020","9671.9"
"06-Jan-2020","9523.37"
"07-Jan-2020","9581.98"
"08-Jan-2020","9533.88"
"09-Jan-2020","9577.96"
"10-Jan-2020","9608.2"
"13-Jan-2020","9631.96"
"14-Jan-2020","9677.92"
"15-Jan-2020","9736.59"
"16-Jan-2020","9780.59"
"17-Jan-2020","9950.13"
"20-Jan-2020","9859.6"
"21-Jan-2020","9865.35"
"22-Jan-2020","9844.48"
"23-Jan-2020","9896.39"
"24-Jan-2020","9889.05"
"27-Jan-2020","10034.84"
"28-Jan-2020","10039.5"
"29-Jan-2020","10030.64"
"30-Jan-2020","9821.1"
"31-Jan-2020","9703.69"
"01-Feb-2020","9554.85"
"03-Feb-2020","9499.76"
"04-Feb-2020","9684.37"
"05-Feb-2020","9688.2"
"06-Feb-2020","9810.15"
"07-Feb-2020","9946.01"
"10-Feb-2020","9849.96"
"11-Feb-2020","9925.54"
"12-Feb-2020","9854.49"
"13-Feb-2020","9938.69"
"14-Feb-2020","9933.92"
"17-Feb-2020","9800.24"
"18-Feb-2020","9792.45"
"19-Feb-2020","10007.85"
"20-Feb-2020","9990.8"
"24-Feb-2020","9693.6"
"25-Feb-2020","9491.68"
"26-Feb-2020","9373.04"
"27-Feb-2020","9427.94"
"28-Feb-2020","9059.23"
"02-Mar-2020","9009.43"
"03-Mar-2020","9470.35"
"04-Mar-2020","9668.75"
"05-Mar-2020","9739.86"
"06-Mar-2020","9587.16"
"09-Mar-2020","9274.05"
"11-Mar-2020","9114.55"
"12-Mar-2020","8300.93"
"13-Mar-2020","8690.06"
